id,parent_id, locale, category_position, category_title, category_description, category_color, category_image, category_image_thumb, category_visible, category_trusted
"2592","976","en_US","0","DAVI ALCOLUMBRE","DAVI ALCOLUMBRE é DEPUTADO FEDERAL do DEM pela Unidade da Federação AP","370624",NULL,NULL,"1","0"
"2593","976","en_US","0","DAVI ALVES SILVA JÚNIOR","DAVI ALVES SILVA JÚNIOR é DEPUTADO FEDERAL do PR pela Unidade da Federação MA","541624",NULL,NULL,"1","0"
"2594","976","en_US","0","DELEGADO PROTÓGENES","DELEGADO PROTÓGENES é DEPUTADO FEDERAL do PC do B pela Unidade da Federação SP","366624",NULL,NULL,"1","0"
"2595","976","en_US","0","DEVANIR RIBEIRO","DEVANIR RIBEIRO é DEPUTADO FEDERAL do PT pela Unidade da Federação SP","389624",NULL,NULL,"1","0"
"2596","976","en_US","0","DIEGO ANDRADE","DIEGO ANDRADE é DEPUTADO FEDERAL do PSD pela Unidade da Federação MG","436624",NULL,NULL,"1","0"
"2597","976","en_US","0","DILCEU SPERAFICO","DILCEU SPERAFICO é DEPUTADO FEDERAL do PP pela Unidade da Federação PR","239624",NULL,NULL,"1","0"
"2598","976","en_US","0","DIMAS FABIANO","DIMAS FABIANO é DEPUTADO FEDERAL do PP pela Unidade da Federação MG","603624",NULL,NULL,"1","0"
"2599","976","en_US","0","DOMINGOS DUTRA","DOMINGOS DUTRA é DEPUTADO FEDERAL do PT pela Unidade da Federação MA","205624",NULL,NULL,"1","0"
"2600","976","en_US","0","DOMINGOS NETO","DOMINGOS NETO é DEPUTADO FEDERAL do PSB pela Unidade da Federação CE","328624",NULL,NULL,"1","0"
"2601","976","en_US","0","DOMINGOS SÁVIO","DOMINGOS SÁVIO é DEPUTADO FEDERAL do PSDB pela Unidade da Federação MG","824624",NULL,NULL,"1","0"
"2602","976","en_US","0","DR. ADILSON SOARES","DR. ADILSON SOARES é DEPUTADO FEDERAL do PR pela Unidade da Federação RJ","991624",NULL,NULL,"1","0"
"2603","976","en_US","0","DR. ALUIZIO","DR. ALUIZIO é DEPUTADO FEDERAL do PV pela Unidade da Federação RJ","710624",NULL,NULL,"1","0"
"2604","976","en_US","0","DR. GRILO","DR. GRILO é DEPUTADO FEDERAL do PSL pela Unidade da Federação MG","801624",NULL,NULL,"1","0"
"2605","976","en_US","0","DR. JORGE SILVA","DR. JORGE SILVA é DEPUTADO FEDERAL do PDT pela Unidade da Federação ES","402624",NULL,NULL,"1","0"
"2606","976","en_US","0","DR. PAULO CÉSAR","DR. PAULO CÉSAR é DEPUTADO FEDERAL do PSD pela Unidade da Federação RJ","446624",NULL,NULL,"1","0"
